experiment_start,2025-05-27 02:52:23
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
115,ocarina,8.38,19.71,0.3444,49.6,28.7
116,ocarina,8.41,19.38,0.1859,50.9,28.7
117,ocarina,8.43,20.19,0.4697,48.0,28.7
118,ocarina,8.47,19.49,0.3662,53.3,28.7
119,teapot,8.50,18.93,0.3104,48.2,28.7
120,teapot,8.53,19.42,0.3202,52.9,28.7
121,teapot,8.56,19.77,0.3169,52.8,28.7
122,piggy bank,8.59,19.65,0.3189,50.0,28.7
123,piggy bank,8.61,18.25,0.4027,49.4,28.7
124,piggy bank,8.64,18.21,0.3286,47.4,28.7
125,piggy bank,8.67,18.51,0.5688,48.0,28.7
126,teapot,8.69,21.12,0.2574,51.1,28.7
127,teapot,8.71,18.20,0.3145,49.6,28.7
128,teapot,8.74,20.96,0.2590,49.0,28.7
129,teapot,8.77,19.61,0.2730,55.5,28.7
130,ocarina,8.80,18.19,0.3111,46.5,28.7
131,ocarina,8.81,19.96,0.3044,58.0,28.6
132,ocarina,8.83,18.21,0.4209,49.6,28.6
133,ocarina,8.85,16.78,0.5757,48.9,28.6
134,ocarina,8.88,18.23,0.5747,49.5,28.6
135,ocarina,8.89,18.23,0.5302,50.9,28.6
136,ocarina,8.91,17.58,0.5832,49.2,28.6
137,ocarina,8.93,37.07,0.5094,50.0,28.6
138,ocarina,8.95,19.11,0.4631,51.6,28.6
139,ocarina,8.97,17.64,0.4289,50.4,28.6
140,ocarina,8.99,18.17,0.3383,47.7,28.6
141,ocarina,9.01,15.30,0.3204,50.9,28.6
142,ocarina,9.04,17.96,0.3130,52.1,28.6
143,ocarina,9.06,17.95,0.3712,50.0,28.6
144,ocarina,9.07,17.73,0.3805,48.5,28.6
145,ocarina,9.10,16.98,0.3427,48.8,28.6
146,ocarina,9.09,19.84,0.3458,46.6,28.6
147,ocarina,9.12,19.12,0.5226,51.9,28.6
148,ocarina,9.14,21.04,0.5500,46.5,28.6
149,ocarina,9.15,17.31,0.7276,47.6,28.6
150,cup,9.15,17.79,0.0532,48.8,28.6
151,geyser,9.17,17.77,0.1712,50.4,28.6
152,geyser,9.19,18.47,0.1014,50.0,28.6
153,lampshade,9.19,18.01,0.0596,48.4,28.6
154,lampshade,9.20,21.40,0.0718,48.6,28.6
155,letter opener,9.22,20.62,0.0868,49.5,28.6
156,letter opener,9.20,21.22,0.1009,49.1,28.6
157,letter opener,9.21,17.78,0.1322,48.6,28.6
158,letter opener,9.24,18.19,0.1277,55.1,28.6
159,letter opener,9.22,17.35,0.1342,47.8,28.6
160,letter opener,9.23,16.40,0.1305,49.6,28.6
161,letter opener,9.24,17.72,0.1245,48.5,28.6
162,letter opener,9.22,17.72,0.1258,46.4,28.6
163,letter opener,9.22,15.63,0.1170,47.4,28.6
164,letter opener,9.19,17.53,0.1301,46.7,28.6
165,letter opener,9.14,21.14,0.1316,60.8,28.6
166,letter opener,9.08,15.58,0.1279,41.8,28.6
167,letter opener,9.05,15.68,0.1171,45.6,28.6
168,brass,9.06,14.80,0.1192,48.2,28.6
169,brass,9.06,20.04,0.1295,55.5,28.6
170,brass,9.07,17.76,0.1134,67.5,28.6
171,fountain,9.08,17.51,0.1464,48.2,28.6
172,cleaver,9.11,16.79,0.1080,51.3,28.6
173,thimble,9.12,21.52,0.0762,52.1,28.6
174,oil filter,9.14,16.27,0.0769,52.5,28.6
175,ashcan,9.16,16.55,0.2221,52.6,28.6
176,ashcan,9.18,17.98,0.1821,48.8,28.6
177,ashcan,9.19,16.77,0.1602,51.6,28.6
178,ashcan,9.21,19.30,0.2120,47.3,28.6
179,ashcan,9.23,15.84,0.1706,48.7,28.6
180,vacuum,9.26,17.01,0.1317,51.3,28.6
181,vacuum,9.28,16.63,0.1304,50.4,28.6
182,vacuum,9.30,17.18,0.1156,48.0,28.6
183,vacuum,9.32,19.29,0.1604,53.7,28.6
184,plate rack,9.33,17.32,0.1616,48.3,28.6
185,plate rack,9.34,17.15,0.3965,48.8,28.6
186,plate rack,9.35,16.46,0.3342,49.1,28.6
187,plate rack,9.36,17.29,0.3749,50.0,28.6
188,plate rack,9.36,17.56,0.3831,47.6,28.6
189,plate rack,9.35,18.92,0.3898,49.5,28.6
190,plate rack,9.35,19.12,0.3796,44.4,28.6
191,plate rack,9.33,17.86,0.4837,49.6,28.6
192,plate rack,9.33,19.86,0.4561,47.2,28.6
193,plate rack,9.33,20.12,0.5074,50.6,28.6
194,plate rack,9.33,16.50,0.4987,46.9,28.6
195,plate rack,9.34,16.53,0.4870,48.5,28.6
196,plate rack,9.33,17.21,0.4940,49.4,28.6
197,plate rack,9.33,17.09,0.3952,53.4,28.6
198,oil filter,9.35,15.43,0.1379,48.0,28.6
199,oil filter,9.36,14.26,0.0885,48.2,28.6
200,bathing cap,9.38,16.20,0.0640,52.1,28.6
201,coffee mug,9.41,15.76,0.0622,52.7,28.6
202,coil,9.42,14.42,0.0674,47.8,28.6
203,coffee mug,9.44,15.71,0.0679,51.0,28.6
204,coil,9.44,16.65,0.0674,52.5,28.6
205,water jug,9.47,16.39,0.0637,49.4,28.6
206,water jug,9.49,16.10,0.0647,53.8,28.6
207,water jug,9.50,15.61,0.0630,49.6,28.6
208,water jug,9.52,17.11,0.0764,52.3,28.6
209,bathing cap,9.54,14.19,0.0962,50.6,28.6
210,coffee mug,9.55,15.38,0.0886,50.4,28.6
211,plate rack,9.57,18.99,0.2979,51.9,28.6
212,plate rack,9.60,18.31,0.1295,55.6,28.6
213,plate rack,9.58,15.92,0.3888,46.7,28.6
214,plate rack,9.52,15.74,0.4136,41.6,28.6
215,plate rack,9.49,17.55,0.4765,47.2,28.6
216,plate rack,9.47,14.94,0.5902,45.6,28.6
217,plate rack,9.21,16.11,0.6014,48.6,28.6
218,plate rack,9.18,16.92,0.5303,48.9,28.6
219,plate rack,9.18,17.11,0.5277,50.5,28.6
220,plate rack,9.16,14.32,0.4422,46.1,28.6
221,plate rack,9.15,17.01,0.4623,45.9,28.6
222,plate rack,9.15,15.74,0.5063,49.0,28.6
223,plate rack,9.16,18.31,0.4946,46.3,28.6
224,plate rack,9.17,16.32,0.4851,49.3,28.6
225,plate rack,9.17,18.40,0.3584,49.3,28.6
226,plate rack,9.17,18.12,0.2502,46.6,28.6
227,plate rack,9.15,17.68,0.4032,47.1,28.6
228,plate rack,9.15,15.85,0.4811,45.8,28.6
229,plate rack,9.15,17.77,0.6398,50.0,28.6
230,plate rack,9.17,16.71,0.4885,49.5,28.6
231,plate rack,9.16,16.71,0.2415,47.3,28.6
232,plate rack,9.14,14.35,0.1994,47.4,28.6
233,ashcan,9.11,13.87,0.1810,44.7,28.6
234,vacuum,9.11,14.83,0.1667,50.3,28.6
235,vacuum,9.11,15.27,0.1650,48.6,28.6
236,vacuum,9.12,13.67,0.1386,53.4,28.6
237,beacon,9.13,16.10,0.0852,50.0,28.6
238,beacon,9.14,16.73,0.1281,48.0,28.6
239,beacon,9.14,15.55,0.1731,50.3,28.6
240,beacon,9.14,14.98,0.2011,48.3,28.6
241,beacon,9.16,15.86,0.2233,51.7,28.6
242,beacon,9.16,18.49,0.2195,50.3,28.6
243,beacon,9.17,16.38,0.2212,47.7,28.6
244,beacon,9.18,16.60,0.2177,51.5,28.6
245,beacon,9.17,16.76,0.1775,48.1,28.6
246,beacon,9.18,15.85,0.1287,47.6,28.6
247,beacon,9.19,16.14,0.1636,49.2,28.6
248,beacon,9.19,15.16,0.1642,48.4,28.6
249,beacon,9.17,15.71,0.1598,46.0,28.6
250,beacon,9.14,14.30,0.1987,45.7,28.6
251,vacuum,9.14,14.70,0.2289,46.0,28.6
252,rain barrel,9.13,15.10,0.1098,49.6,28.6
253,rain barrel,9.14,15.87,0.0710,49.1,28.6
254,toilet tissue,9.14,15.28,0.0824,46.9,28.6
255,screwdriver,9.13,17.73,0.0752,51.5,28.6
256,iron,9.15,15.56,0.0779,49.1,28.6
257,lighter,9.16,18.45,0.0992,55.9,28.6
258,lighter,9.18,13.90,0.0637,51.1,28.6
259,Band Aid,9.19,18.53,0.0772,50.0,28.6
260,Band Aid,9.21,19.58,0.1084,51.3,28.6
261,diaper,9.23,17.87,0.1622,51.8,28.6
262,diaper,9.24,17.29,0.1872,52.8,28.6
263,diaper,9.26,19.40,0.2753,53.8,28.6
264,bikini,9.27,17.82,0.0681,48.5,28.6
265,lighter,9.28,20.29,0.0544,47.3,28.6
266,lighter,9.30,18.37,0.0989,60.0,28.6
267,dumbbell,9.31,19.85,0.0762,49.1,28.6
268,folding chair,9.32,16.33,0.0491,50.0,28.6
269,vacuum,9.33,14.63,0.1044,49.1,28.6
270,ashcan,9.34,18.86,0.1438,47.0,28.6
271,fountain,9.35,16.21,0.2114,55.4,28.6
272,geyser,9.36,17.17,0.1162,48.8,28.6
273,geyser,9.37,16.26,0.0633,50.4,28.6
274,cleaver,9.38,15.50,0.0565,51.8,28.6
275,paper towel,9.40,16.17,0.1048,53.2,28.6
276,brass,9.40,14.93,0.0822,47.8,28.6
277,letter opener,9.41,15.41,0.1027,48.9,28.6
278,letter opener,9.42,15.78,0.1043,48.9,28.6
279,letter opener,9.43,15.59,0.1056,48.2,28.6
280,letter opener,9.44,15.59,0.1165,45.4,28.6
281,letter opener,9.44,15.97,0.1199,50.0,28.6
282,brass,9.46,14.95,0.1119,47.7,28.6
283,brass,9.46,16.79,0.1237,51.2,28.6
284,letter opener,9.48,19.15,0.1135,55.1,28.6
285,letter opener,9.48,19.23,0.1157,46.2,28.6
286,letter opener,9.50,16.20,0.1289,51.4,28.6
287,letter opener,9.51,15.51,0.1223,47.5,28.6
288,letter opener,9.52,15.79,0.1223,49.7,28.6
289,letter opener,9.53,14.49,0.1253,52.9,28.6
290,letter opener,9.54,18.69,0.1233,49.2,28.6
