experiment_start,2025-05-27 02:20:23
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
117,envelope,22.13,17.82,0.1308,50.0,25.6
118,envelope,22.13,15.99,0.1430,56.6,25.7
119,envelope,22.13,15.20,0.1273,51.4,25.7
120,envelope,22.14,13.62,0.1462,55.4,25.8
121,envelope,22.17,11.81,0.1670,46.2,25.8
122,envelope,22.22,9.98,0.1423,59.0,25.8
123,envelope,22.26,13.33,0.1354,50.9,25.8
124,envelope,22.28,13.36,0.1454,53.8,25.8
125,envelope,22.25,20.01,0.1300,52.9,25.7
126,envelope,22.14,39.84,0.1350,59.2,25.9
127,envelope,22.12,20.15,0.1289,54.8,25.7
128,envelope,22.14,10.60,0.1334,53.8,25.8
129,envelope,22.14,17.38,0.1563,48.5,25.8
130,envelope,22.15,12.49,0.1299,50.7,25.9
131,envelope,22.14,15.44,0.1272,55.6,25.7
132,envelope,22.13,16.30,0.1526,55.0,25.9
133,envelope,22.16,13.40,0.1113,52.5,25.8
134,envelope,22.18,12.00,0.1142,53.8,25.8
135,envelope,22.20,10.69,0.1313,54.7,25.8
136,envelope,22.20,18.85,0.1232,50.7,25.7
137,envelope,22.21,13.57,0.1124,55.1,25.9
138,envelope,22.24,10.29,0.1273,54.1,25.9
139,envelope,22.26,13.36,0.1217,50.8,25.9
140,envelope,22.30,11.97,0.0989,52.0,25.9
141,envelope,22.33,12.07,0.1231,57.1,25.7
142,envelope,22.35,14.29,0.1267,53.7,25.8
143,envelope,22.38,10.33,0.1416,50.0,25.8
144,envelope,22.40,12.18,0.1188,56.3,25.8
145,envelope,22.43,12.81,0.1152,55.9,25.8
146,envelope,22.45,14.85,0.1318,53.0,25.7
147,envelope,22.47,13.63,0.1518,55.4,25.8
148,envelope,22.48,17.11,0.1369,50.8,25.9
149,envelope,22.50,13.83,0.1631,53.3,25.8
150,envelope,22.51,15.87,0.1682,50.0,25.9
151,envelope,22.52,11.94,0.1273,54.0,25.9
152,envelope,22.52,18.19,0.1274,47.8,25.7
153,envelope,22.53,17.36,0.1439,55.7,25.8
154,envelope,22.53,16.83,0.1176,56.8,25.7
155,envelope,22.53,12.46,0.1240,52.9,25.7
156,envelope,22.56,11.36,0.1364,58.1,25.8
157,envelope,22.58,15.19,0.1722,52.4,25.6
158,envelope,22.61,12.32,0.1629,49.1,25.8
159,envelope,22.63,11.55,0.1666,53.3,25.8
160,envelope,22.64,14.12,0.1541,51.5,25.8
161,envelope,22.64,17.84,0.1233,57.7,25.8
162,envelope,22.66,12.31,0.1465,48.2,25.7
163,envelope,22.67,11.48,0.1322,58.4,25.8
164,envelope,22.68,10.60,0.1284,52.5,25.8
165,envelope,22.70,13.26,0.1441,46.2,25.7
166,envelope,22.73,8.24,0.1172,57.4,25.8
167,envelope,22.74,11.19,0.1389,51.6,25.8
168,envelope,22.77,9.90,0.1628,50.0,25.8
169,envelope,22.79,9.97,0.1619,53.2,25.9
170,envelope,22.81,12.59,0.1671,54.8,25.8
171,envelope,22.83,12.91,0.1417,57.8,25.8
172,envelope,22.85,9.72,0.1222,50.0,25.9
173,envelope,22.88,10.61,0.1282,56.2,25.9
174,envelope,22.91,12.09,0.1309,50.0,25.9
175,envelope,22.95,10.52,0.1485,51.1,25.9
176,envelope,22.97,10.18,0.1210,54.8,25.9
177,envelope,22.99,9.60,0.1354,51.0,25.9
178,envelope,22.97,30.14,0.1305,60.6,25.7
179,envelope,22.96,14.67,0.1410,51.4,25.9
180,envelope,22.97,11.11,0.1159,53.8,26.0
181,envelope,23.00,12.04,0.1349,51.0,25.8
182,envelope,23.02,11.10,0.1446,59.2,25.9
183,envelope,23.03,13.55,0.1326,55.1,25.8
