experiment_start,2025-05-27 03:01:43
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
1,knee pad,12.00,44.08,0.2582,3.9,28.3
2,knee pad,8.62,32.93,0.1270,51.5,28.9
3,saltshaker,10.71,21.56,0.1094,54.4,28.9
4,saltshaker,12.27,22.82,0.3572,47.8,28.9
5,strainer,12.39,24.09,0.2055,49.6,29.0
6,teapot,11.33,21.23,0.2369,49.5,29.0
7,teapot,10.58,23.76,0.2441,47.1,28.9
8,cup,9.68,21.25,0.3272,45.4,28.9
9,cup,9.24,22.41,0.2190,46.8,28.9
10,cup,8.54,21.62,0.2893,46.1,28.9
11,cup,8.29,22.84,0.2961,45.3,29.0
12,cup,8.42,17.37,0.2720,47.1,29.0
13,coffee mug,8.34,21.45,0.4194,51.9,28.8
14,coffee mug,8.44,19.65,0.4555,50.6,28.9
15,coffee mug,8.49,18.39,0.2448,44.6,28.9
16,cup,8.46,19.25,0.5781,47.8,28.9
17,cup,8.31,19.67,0.4852,45.9,29.0
18,cup,8.08,21.00,0.4974,47.3,29.0
19,cup,7.94,20.82,0.4483,46.6,29.0
20,cup,7.96,17.98,0.4234,47.7,29.0
21,cup,8.07,20.98,0.4377,50.7,29.0
22,cup,8.18,22.92,0.4381,49.3,28.8
23,cup,8.24,20.58,0.4235,47.8,28.8
24,cup,8.42,20.51,0.4479,50.0,28.8
25,cup,8.54,20.74,0.4652,48.3,28.9
26,cup,8.68,19.77,0.4476,52.1,29.0
27,cup,8.79,21.24,0.4423,47.3,29.0
28,cup,8.80,25.84,0.4347,50.3,29.1
29,cup,8.84,23.60,0.4453,54.5,29.2
30,cup,8.74,21.44,0.4667,55.2,31.0
31,cup,8.67,28.66,0.4723,53.1,32.3
32,cup,8.70,27.75,0.4347,54.8,29.1
33,cup,8.79,26.83,0.4297,51.2,29.0
34,cup,8.82,26.25,0.4470,49.0,29.0
35,cup,8.82,27.43,0.4474,49.7,29.0
36,cup,8.78,38.31,0.4448,49.5,29.0
37,cup,8.89,24.92,0.4454,48.5,29.0
