experiment_start,2025-05-28 09:31:01
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
1,soap dispenser,1.58,430.25,0.0735,24.1,26.0
2,lotion,1.08,317.60,0.0455,27.5,26.3
3,soap dispenser,1.44,119.65,0.0691,52.9,27.1
4,lotion,1.85,30.19,0.1651,53.4,26.7
5,perfume,2.24,31.88,0.2962,56.9,27.2
6,perfume,2.58,49.46,0.9529,53.8,27.0
7,perfume,2.94,18.70,0.9536,53.8,27.2
8,perfume,3.27,25.82,0.9624,49.0,26.7
9,perfume,3.54,48.15,0.9817,58.4,27.2
10,perfume,3.76,53.68,0.9828,60.4,27.1
11,perfume,4.03,28.17,0.9791,55.8,27.2
12,perfume,4.28,33.44,0.9800,55.2,26.8
13,perfume,4.51,22.56,0.9768,57.6,27.2
14,perfume,4.74,27.69,0.9728,51.3,26.8
15,perfume,4.96,26.61,0.9768,56.9,27.3
16,perfume,5.17,27.96,0.9775,53.6,27.2
17,perfume,5.35,34.22,0.9756,55.4,27.2
18,perfume,5.50,44.50,0.9725,56.1,27.4
19,perfume,5.66,30.62,0.9749,54.6,27.3
20,perfume,5.83,24.35,0.9732,59.2,27.3
21,perfume,5.98,42.34,0.9743,56.7,27.3
22,perfume,6.13,25.22,0.9742,50.9,27.3
23,perfume,6.28,27.90,0.9775,58.6,26.8
24,perfume,6.34,33.85,0.9739,50.8,27.4
25,perfume,6.36,29.21,0.9754,50.0,27.4
26,perfume,6.44,20.55,0.9726,52.2,27.4
27,perfume,6.50,23.60,0.9767,52.6,27.3
28,perfume,6.46,19.50,0.9741,51.7,27.0
29,perfume,6.44,28.83,0.9758,49.6,26.7
30,perfume,6.47,25.74,0.9749,51.0,26.7
31,perfume,6.54,13.48,0.9716,56.7,27.2
32,perfume,6.61,14.75,0.9745,49.0,27.2
33,perfume,6.68,15.50,0.9761,53.5,27.2
34,perfume,6.75,17.68,0.9774,53.4,27.2
35,perfume,6.85,15.07,0.9751,52.4,26.6
