experiment_start,2025-05-27 02:48:22
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
1,binder,17.97,20.82,0.2876,23.8,27.6
2,binder,9.83,32.49,0.3480,51.7,28.1
3,binder,12.12,13.57,0.3377,56.8,28.1
4,rubber eraser,13.80,15.14,0.0665,50.0,28.2
5,ladle,15.29,13.50,0.1858,56.7,28.3
6,broom,16.29,14.45,0.3295,56.1,28.2
7,ladle,14.00,10.38,0.3806,46.4,28.2
8,broom,12.66,10.34,0.3202,49.1,28.2
9,rubber eraser,11.32,10.67,0.2826,47.4,28.2
10,envelope,10.83,9.41,0.1308,44.7,28.2
11,rubber eraser,10.06,8.04,0.1725,46.6,28.2
12,rubber eraser,9.04,7.26,0.1650,41.6,28.2
13,rubber eraser,8.14,9.10,0.1945,35.6,28.6
14,envelope,7.57,7.67,0.1560,38.0,28.4
15,envelope,7.28,7.12,0.1684,43.7,28.1
16,envelope,5.43,7.46,0.1703,45.6,28.3
17,rubber eraser,5.29,9.16,0.1897,36.0,28.4
18,rubber eraser,4.99,23.04,0.2559,28.4,28.1
19,rubber eraser,4.90,8.32,0.2017,33.6,28.3
20,rubber eraser,4.74,17.59,0.2701,31.3,28.3
21,rubber eraser,4.59,12.33,0.2376,28.6,28.3
22,rubber eraser,4.57,9.03,0.2384,39.9,28.3
23,rubber eraser,4.53,14.76,0.2115,41.6,28.3
24,rubber eraser,4.51,16.04,0.2157,41.6,28.2
25,envelope,4.51,8.46,0.2194,45.4,28.4
26,envelope,4.53,13.20,0.2270,45.5,28.1
27,envelope,4.59,13.28,0.2492,47.9,28.3
28,rubber eraser,4.66,10.48,0.1792,46.3,28.2
29,rubber eraser,4.66,7.53,0.2095,45.2,28.3
30,rubber eraser,4.71,8.59,0.1875,47.9,28.3
31,envelope,4.73,8.19,0.1895,46.0,28.2
32,envelope,4.68,7.58,0.1414,33.8,28.2
33,toaster,4.63,10.61,0.1691,33.6,28.2
34,ocarina,4.64,7.37,0.6384,45.7,28.2
35,piggy bank,4.65,14.38,0.4434,49.8,28.2
36,piggy bank,4.72,8.78,0.2692,47.7,28.2
37,paintbrush,4.79,12.71,0.1696,48.4,28.2
