experiment_start,2025-05-27 02:55:57
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
1,binder,12.89,47.47,0.0427,8.1,28.7
2,binder,7.33,25.53,0.0427,53.5,29.3
3,binder,9.45,14.01,0.0303,50.7,29.3
4,paper towel,10.67,14.64,0.0410,50.5,29.4
5,paper towel,11.30,10.36,0.0371,50.0,29.4
6,brass,11.75,10.78,0.0297,50.9,29.4
7,brass,11.29,11.20,0.0541,48.9,29.4
8,brass,10.95,12.09,0.0826,48.3,29.2
9,brass,11.53,8.48,0.1040,49.4,29.3
10,brass,11.06,9.40,0.0964,45.6,29.3
11,brass,10.88,8.49,0.0863,47.4,29.3
12,brass,10.80,10.37,0.0931,47.8,29.3
13,brass,10.06,9.27,0.1117,46.4,29.3
14,brass,10.02,11.97,0.1049,49.1,29.3
15,brass,9.54,11.43,0.1125,47.2,29.4
16,brass,9.39,20.99,0.0934,47.6,29.2
17,brass,9.31,12.87,0.0920,49.7,29.3
18,brass,9.45,12.31,0.1099,49.2,29.4
19,brass,9.57,11.39,0.1083,47.7,29.2
20,brass,9.53,12.46,0.0998,48.0,29.6
21,brass,9.19,10.81,0.0917,53.1,31.1
22,brass,8.74,12.26,0.1143,48.7,32.9
23,brass,8.86,11.02,0.1048,51.6,33.4
24,brass,8.95,10.65,0.1006,51.1,33.7
25,brass,8.65,16.26,0.0979,50.0,33.9
26,brass,8.62,15.04,0.1616,49.0,29.6
27,brass,8.71,10.72,0.1210,46.5,29.6
28,brass,8.77,9.67,0.0995,52.1,29.6
29,brass,8.87,9.50,0.0991,53.7,29.7
30,brass,8.97,12.60,0.0781,48.7,29.5
31,brass,9.09,9.97,0.1086,50.0,29.6
32,brass,9.14,10.38,0.1104,48.3,29.6
33,brass,9.05,10.82,0.0992,45.4,29.6
34,brass,9.05,15.24,0.0816,48.0,29.6
35,brass,9.04,9.32,0.0829,52.3,29.6
36,brass,9.08,8.84,0.0821,46.3,29.6
37,brass,9.08,12.96,0.0696,48.3,29.6
38,brass,9.09,21.03,0.0860,50.3,31.1
39,brass,9.15,16.73,0.0910,57.3,29.6
40,brass,9.20,16.28,0.0761,47.4,29.6
41,brass,9.21,12.98,0.0944,49.1,29.6
42,brass,9.29,12.12,0.0966,50.5,29.7
43,brass,9.35,10.00,0.0835,52.7,29.5
44,brass,9.45,10.88,0.0898,50.0,29.6
45,brass,9.41,11.72,0.0795,48.0,29.7
46,brass,9.46,13.00,0.0734,48.4,29.5
47,brass,9.57,16.15,0.0759,48.1,29.6
48,brass,9.60,17.89,0.0685,53.4,29.7
49,brass,9.64,12.92,0.0877,46.1,29.5
50,brass,9.51,10.83,0.0816,46.5,29.6
51,brass,9.41,13.20,0.0934,45.5,29.7
52,brass,9.45,8.96,0.0777,48.4,29.5
53,brass,9.42,9.44,0.0891,45.8,29.5
54,brass,9.47,9.55,0.0945,49.2,29.7
55,brass,9.51,10.28,0.1135,46.9,29.5
56,brass,9.56,8.95,0.1013,51.3,29.6
57,brass,9.62,8.84,0.1111,47.0,29.7
58,brass,9.68,10.04,0.1016,50.0,29.5
59,brass,9.75,8.49,0.0911,47.1,29.5
60,brass,9.81,10.12,0.1046,53.9,29.6
61,brass,9.78,9.91,0.1116,46.1,29.6
62,brass,8.86,10.42,0.1212,48.9,29.6
63,brass,8.89,10.15,0.1016,47.9,29.6
64,brass,8.89,9.69,0.1117,47.3,29.6
65,brass,8.88,9.05,0.1174,45.2,29.7
66,brass,8.92,9.89,0.0732,50.4,29.5
67,brass,8.96,10.97,0.0552,47.6,29.6
68,paper towel,8.90,10.71,0.0918,46.5,29.7
69,paper towel,8.83,12.64,0.0336,46.4,29.5
70,Brittany spaniel,8.83,12.63,0.0565,48.1,29.6
71,remote control,8.84,13.43,0.0596,46.6,29.7
72,remote control,8.84,13.67,0.2474,47.4,29.5
73,remote control,8.89,12.78,0.1694,49.1,29.6
74,remote control,8.92,15.13,0.2876,49.2,29.7
75,remote control,8.95,13.00,0.3410,46.9,29.7
76,remote control,8.97,13.99,0.3831,49.4,29.5
77,remote control,8.95,13.21,0.4380,52.8,29.5
78,remote control,8.91,13.22,0.6453,47.7,29.6
79,remote control,8.93,12.89,0.7542,46.6,29.6
80,remote control,8.94,13.54,0.6828,50.9,29.6
81,remote control,8.93,13.81,0.7317,47.4,29.7
82,remote control,8.94,12.32,0.6973,48.3,29.6
83,remote control,8.97,13.44,0.7168,48.5,29.6
84,remote control,8.99,14.28,0.7876,49.7,29.6
85,remote control,9.00,18.02,0.7952,50.9,29.6
86,remote control,9.05,17.16,0.6933,53.2,29.6
87,remote control,9.08,16.05,0.7256,46.6,29.6
88,remote control,9.10,19.67,0.7283,50.0,29.6
89,remote control,9.12,14.56,0.7351,49.3,29.6
90,remote control,9.15,16.13,0.7137,49.6,29.6
91,remote control,9.18,15.11,0.7230,54.5,29.6
92,remote control,9.17,13.96,0.6987,47.4,29.6
93,remote control,9.18,13.99,0.5574,47.9,29.6
94,remote control,9.19,14.41,0.4249,47.2,29.6
95,remote control,9.22,13.45,0.6516,56.2,29.7
96,remote control,9.25,14.03,0.5493,47.4,29.7
97,remote control,9.30,14.19,0.4987,51.6,29.7
98,remote control,9.30,16.15,0.5190,48.5,29.7
99,remote control,9.32,14.67,0.4695,55.1,29.6
100,remote control,9.35,14.04,0.5325,50.4,29.6
101,remote control,9.38,15.05,0.6751,52.8,29.5
102,remote control,9.41,14.75,0.6887,51.2,29.6
103,remote control,9.45,14.39,0.6744,47.1,29.6
104,remote control,9.49,14.52,0.6358,55.9,29.6
105,remote control,9.52,13.59,0.6451,47.5,29.7
106,remote control,9.55,15.80,0.6415,50.9,29.5
107,remote control,9.59,14.23,0.6406,49.5,29.5
108,remote control,9.62,18.25,0.6515,52.5,29.5
109,remote control,9.66,13.79,0.6500,50.5,29.5
110,remote control,9.65,14.16,0.6521,47.2,29.5
111,remote control,9.68,13.51,0.6472,52.6,29.5
112,remote control,9.72,13.77,0.6442,54.3,29.5
113,remote control,9.75,15.18,0.6279,52.7,29.7
114,remote control,9.80,13.80,0.6328,51.9,29.5
115,remote control,9.83,13.74,0.6565,52.2,29.5
116,remote control,9.87,14.26,0.5397,51.6,29.5
117,remote control,9.90,14.35,0.4617,49.1,29.5
118,remote control,9.92,16.52,0.4402,49.1,29.5
119,remote control,9.93,13.56,0.3655,47.3,29.6
120,remote control,9.94,18.35,0.2847,49.3,29.4
121,remote control,9.98,14.56,0.3018,53.3,29.5
122,remote control,10.02,13.28,0.3757,54.1,29.5
123,remote control,10.05,14.16,0.4153,49.0,29.5
124,remote control,10.07,16.04,0.3690,47.8,29.6
125,remote control,10.09,14.02,0.3308,50.8,29.4
126,remote control,10.11,17.20,0.2887,50.8,29.5
127,remote control,10.13,16.81,0.3347,50.0,29.6
128,remote control,10.15,14.65,0.2490,48.6,29.6
129,remote control,10.18,14.11,0.2536,62.4,29.6
130,remote control,10.20,14.36,0.2879,59.8,29.6
131,remote control,10.21,19.23,0.2392,50.4,29.4
132,remote control,10.24,13.67,0.3252,50.5,29.5
133,remote control,10.24,13.55,0.3403,48.1,29.6
134,remote control,10.25,13.70,0.3218,45.9,29.4
135,cellular telephone,10.22,13.38,0.2516,48.6,29.5
136,cellular telephone,10.21,13.87,0.3154,49.5,29.6
