experiment_start,2025-05-27 02:30:06
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
121,switch,20.20,12.84,0.0887,47.1,28.7
122,switch,20.25,10.70,0.0752,50.0,28.7
123,switch,20.28,12.70,0.0876,55.6,28.7
124,switch,20.32,11.76,0.0852,45.3,28.7
125,switch,20.36,13.17,0.0876,54.1,28.7
126,switch,20.40,12.73,0.0880,52.5,28.7
127,switch,20.43,11.51,0.0753,54.0,28.7
128,switch,20.46,13.11,0.0838,50.0,28.7
129,switch,20.50,11.94,0.0769,47.1,28.7
130,switch,20.54,12.98,0.0895,55.4,28.7
131,switch,20.59,9.16,0.0740,49.0,28.7
132,switch,20.62,12.38,0.0761,56.1,28.7
133,switch,20.65,10.13,0.0901,51.6,28.7
134,switch,20.67,12.70,0.0715,50.0,28.7
135,switch,20.67,18.09,0.0738,54.4,28.7
136,switch,20.68,17.61,0.0845,52.6,28.7
137,switch,20.36,67.05,0.0865,56.6,28.7
138,switch,20.37,14.40,0.0941,53.9,28.7
139,switch,20.38,17.71,0.0961,47.8,28.7
140,switch,20.36,17.15,0.0876,53.3,28.7
141,switch,20.37,14.43,0.0834,47.8,28.7
142,switch,20.37,14.48,0.0824,53.2,28.7
143,switch,20.37,14.48,0.0864,53.2,28.7
144,switch,20.39,15.01,0.0755,49.3,28.7
145,switch,20.41,11.94,0.0806,60.3,28.7
146,switch,20.42,13.56,0.0774,48.5,28.7
147,switch,20.43,12.09,0.0889,55.7,28.7
148,switch,20.43,15.74,0.0809,46.4,28.7
149,switch,20.43,17.18,0.0853,54.7,28.7
150,switch,20.47,9.43,0.0930,60.0,28.7
151,switch,20.48,16.15,0.0806,48.5,28.7
152,switch,20.52,10.12,0.0853,54.8,28.7
153,switch,20.54,12.01,0.0899,51.6,28.7
154,switch,20.57,13.59,0.0845,51.6,28.7
155,switch,20.60,12.62,0.0834,45.3,28.7
156,switch,20.62,10.61,0.0735,57.3,28.7
157,switch,20.64,10.89,0.0750,44.4,28.7
158,switch,20.66,18.23,0.0884,55.6,28.7
159,switch,20.65,23.37,0.0784,50.0,28.7
160,switch,20.65,18.80,0.0889,53.1,28.7
161,switch,20.63,20.75,0.0811,49.4,28.7
162,switch,20.64,14.31,0.0837,55.8,28.7
163,switch,20.64,18.68,0.0823,50.6,28.7
164,switch,20.63,19.82,0.0842,50.6,28.7
165,switch,20.63,16.12,0.0758,52.6,28.7
166,switch,20.60,27.11,0.0947,52.9,28.7
167,switch,20.61,18.07,0.0913,52.8,28.7
168,switch,20.61,18.66,0.0766,52.5,28.7
169,switch,20.56,24.79,0.0810,52.3,28.7
170,switch,20.56,16.79,0.0743,52.6,28.7
171,switch,20.57,17.14,0.0805,54.2,28.7
172,switch,20.58,14.64,0.0693,56.2,28.7
173,switch,20.59,18.44,0.0690,47.9,28.7
174,switch,20.59,18.63,0.0806,56.1,28.7
175,switch,20.61,15.48,0.0800,50.0,28.7
176,switch,20.61,18.72,0.0840,53.9,28.7
177,switch,18.86,19.73,0.0768,55.3,28.7
178,switch,18.88,15.04,0.0746,55.7,28.7
179,switch,18.89,19.73,0.0859,54.3,28.7
180,switch,18.92,15.48,0.0863,53.1,28.7
181,switch,18.92,18.85,0.0955,59.8,28.8
182,switch,18.96,11.74,0.0848,54.1,28.8
183,switch,18.98,12.96,0.0803,45.3,28.8
184,switch,19.01,11.54,0.0747,53.1,28.8
185,switch,19.04,12.64,0.0700,56.1,28.8
186,switch,19.06,15.17,0.0680,50.8,28.8
187,switch,19.08,12.46,0.0652,53.8,28.8
188,switch,19.09,18.07,0.0734,55.6,28.8
189,switch,19.11,14.19,0.0676,49.2,28.8
190,switch,19.12,14.75,0.0802,53.9,28.8
191,switch,19.13,19.04,0.0842,52.6,28.8
192,switch,19.16,11.43,0.0817,45.3,28.8
193,switch,19.18,12.99,0.0842,55.8,28.8
194,switch,19.19,12.04,0.0839,50.0,28.8
195,switch,19.20,15.63,0.0920,53.2,28.8
196,switch,19.21,17.32,0.0921,56.5,28.8
197,switch,19.22,15.71,0.0910,49.3,28.8
198,switch,19.25,11.90,0.0895,52.5,28.8
199,switch,19.28,12.09,0.0822,55.0,28.8
200,switch,19.30,14.84,0.0880,50.0,28.8
201,switch,19.32,14.52,0.0812,50.0,28.8
202,switch,19.33,17.90,0.0870,48.5,28.8
203,switch,19.34,17.86,0.0885,56.3,28.8
204,switch,19.36,17.06,0.0883,51.6,28.8
205,switch,19.38,16.56,0.1017,49.2,28.8
206,switch,19.39,17.42,0.1072,53.3,28.8
207,switch,19.41,16.13,0.0854,50.0,28.8
208,switch,19.43,13.08,0.0868,49.2,28.8
209,switch,19.44,17.65,0.0733,50.0,28.8
210,switch,19.47,13.56,0.0901,52.5,28.8
211,switch,19.47,18.18,0.0754,52.6,28.8
212,switch,19.48,18.22,0.0799,47.8,28.8
213,switch,19.48,19.89,0.0888,56.0,28.8
214,switch,19.49,18.77,0.0831,51.3,28.8
215,switch,19.49,17.85,0.0714,45.7,28.8
216,switch,19.50,13.83,0.0789,54.9,28.8
217,switch,19.50,16.97,0.0865,51.9,28.8
218,switch,19.51,17.40,0.0725,50.6,28.8
219,switch,19.52,16.17,0.0894,47.8,28.8
220,switch,19.47,41.32,0.0893,52.3,28.8
221,switch,19.46,25.01,0.0992,54.4,28.8
222,switch,19.47,19.36,0.0922,53.3,28.8
223,switch,19.46,24.09,0.0921,47.6,28.8
224,switch,19.46,18.67,0.0798,51.9,28.8
225,switch,19.47,13.55,0.0715,57.8,28.8
226,switch,19.48,13.28,0.0770,57.4,28.8
227,switch,19.50,13.11,0.0777,63.3,28.8
228,switch,19.51,13.15,0.0891,51.5,28.8
229,switch,19.52,14.24,0.0773,57.1,28.8
230,switch,19.53,12.74,0.0778,51.5,28.8
231,switch,19.54,15.53,0.0785,56.6,28.8
232,switch,19.56,12.31,0.0871,46.2,28.8
233,switch,19.58,12.18,0.0842,60.8,28.8
234,switch,19.59,13.47,0.0838,50.0,28.8
235,switch,19.61,11.20,0.0868,48.1,28.8
236,switch,19.63,13.59,0.0911,56.3,28.8
237,switch,19.65,10.38,0.0965,52.5,28.8
238,switch,19.66,13.91,0.0866,47.8,28.8
239,switch,19.69,10.09,0.1054,49.0,28.8
240,switch,19.71,10.66,0.0820,54.7,28.8
241,switch,19.73,10.74,0.0849,53.2,28.8
242,switch,19.75,13.15,0.0867,50.8,28.8
243,switch,19.76,16.87,0.0911,49.2,28.8
244,switch,19.78,12.69,0.0999,54.2,28.8
245,switch,19.81,9.81,0.0950,49.0,28.8
246,switch,19.84,9.86,0.0994,55.2,28.8
247,switch,19.86,12.06,0.0877,48.0,28.8
248,switch,19.88,10.48,0.0933,52.5,28.8
249,switch,19.89,14.56,0.0883,49.2,28.8
250,switch,19.91,14.73,0.0769,56.5,28.8
251,switch,19.92,12.31,0.0847,53.6,28.8
252,switch,19.93,16.80,0.0902,54.7,28.8
253,switch,19.94,16.75,0.0821,47.8,28.8
254,switch,19.96,10.63,0.0679,52.5,28.8
255,switch,19.97,13.65,0.0693,51.5,28.8
256,switch,19.97,23.66,0.0838,51.3,28.8
257,switch,19.99,11.78,0.0774,54.1,28.8
258,switch,19.99,21.85,0.1019,51.9,28.8
259,switch,19.99,14.67,0.0970,51.3,28.8
260,switch,20.01,13.31,0.1251,52.5,28.8
261,switch,20.03,13.28,0.0991,50.0,28.8
262,switch,20.05,12.73,0.1083,47.1,28.8
263,cup,20.07,10.94,0.1088,55.9,28.8
264,piggy bank,20.08,19.10,0.0639,49.2,28.8
265,ocarina,20.09,13.64,0.2519,55.1,28.8
266,ocarina,20.11,10.76,0.3814,55.2,28.8
267,ocarina,20.13,14.32,0.3843,52.3,28.8
268,ocarina,20.15,9.16,0.2820,51.0,28.8
269,saltshaker,20.17,12.55,0.2729,51.6,28.8
270,saltshaker,20.19,11.37,0.1923,59.0,28.8
271,saltshaker,20.21,12.49,0.1540,47.1,28.8
272,saltshaker,20.23,17.06,0.2554,52.3,28.8
273,saltshaker,20.25,12.04,0.2025,57.8,28.8
274,saltshaker,20.27,9.59,0.1815,47.1,28.8
