experiment_start,2025-05-27 02:42:01
frame,label,fps,infer_time_ms,confidence,cpu_percent,ram_percent
1,fire screen,15.81,24.77,0.1568,8.4,27.3
2,binder,10.64,13.80,0.1644,53.7,27.9
3,binder,11.80,8.66,0.1762,58.9,28.0
4,cleaver,13.64,7.86,0.0479,52.5,28.1
5,broom,15.29,6.07,0.1437,49.0,28.1
6,broom,16.82,5.22,0.2603,53.1,28.1
7,broom,17.98,6.90,0.2179,59.3,28.1
8,broom,18.76,7.37,0.2518,54.2,28.1
9,broom,19.53,5.73,0.2652,56.1,28.1
10,broom,20.15,5.98,0.2893,47.1,28.1
11,broom,20.37,6.01,0.2618,55.4,28.1
12,broom,18.56,6.71,0.2099,48.0,28.1
13,broom,18.66,6.43,0.1847,52.9,28.1
14,broom,18.15,7.01,0.1771,50.4,28.1
15,broom,18.05,5.31,0.1818,50.0,28.1
16,broom,17.45,5.94,0.1648,46.7,28.1
17,broom,17.31,6.61,0.1583,50.9,28.1
18,broom,17.26,5.47,0.1844,49.0,28.2
19,broom,17.22,5.23,0.1581,47.4,28.2
20,broom,16.49,6.52,0.1471,47.7,28.2
21,broom,16.68,6.83,0.1468,52.6,28.2
22,broom,16.69,5.70,0.1457,43.5,28.2
23,broom,16.77,6.69,0.1743,57.0,28.0
24,broom,16.66,6.55,0.1455,49.5,28.1
25,broom,16.47,6.11,0.1599,45.8,28.1
26,broom,16.28,6.58,0.1553,51.5,28.1
27,broom,15.98,6.13,0.1598,52.8,28.1
28,broom,15.20,7.69,0.1762,46.9,28.1
29,broom,15.05,5.45,0.1151,45.7,28.1
30,broom,14.73,7.20,0.1725,47.2,28.1
31,broom,14.19,5.74,0.1572,51.0,28.1
32,broom,14.20,6.65,0.1561,48.1,28.1
33,broom,14.22,4.64,0.1349,48.6,28.1
34,broom,13.74,5.49,0.1203,44.6,28.1
35,broom,13.46,9.99,0.1347,46.8,28.1
36,broom,12.99,5.88,0.1343,46.8,28.1
37,broom,12.94,5.65,0.1554,48.3,28.1
38,broom,12.63,5.32,0.1460,46.9,27.9
39,broom,12.37,5.91,0.1460,44.7,28.1
40,broom,12.30,5.08,0.1376,45.6,28.1
41,broom,12.15,5.78,0.1231,45.3,28.1
42,broom,12.15,4.69,0.1233,49.6,28.0
43,broom,12.00,5.04,0.1175,48.6,28.1
44,broom,11.77,4.96,0.1432,46.0,28.1
45,broom,11.38,4.68,0.1709,43.8,28.1
46,envelope,11.34,4.66,0.1364,45.3,28.1
47,radiator,11.31,9.66,0.1012,50.3,28.1
48,dough,11.30,5.90,0.2969,47.3,27.9
49,iron,11.38,5.93,0.0824,53.0,28.1
50,ocarina,11.48,5.41,0.3470,49.4,28.1
51,ocarina,11.60,5.53,0.3255,48.5,28.1
52,ocarina,11.54,5.25,0.3845,50.0,28.0
53,ocarina,11.60,5.45,0.4389,48.6,28.0
54,ocarina,11.71,6.69,0.7007,50.7,28.0
55,ocarina,11.80,5.35,0.8101,51.9,28.0
56,ocarina,11.86,4.96,0.9611,51.9,28.0
57,ocarina,11.82,5.07,0.7146,46.5,28.0
58,ocarina,11.69,7.01,0.7481,45.8,28.0
59,ocarina,11.41,7.21,0.9518,44.9,28.0
60,ocarina,11.14,4.66,0.9222,42.6,28.0
61,ocarina,11.01,4.93,0.8707,46.2,28.0
62,ocarina,11.01,9.11,0.7537,47.6,28.0
63,saltshaker,11.02,5.59,0.5687,46.9,28.0
64,saltshaker,11.04,5.38,0.3300,45.1,28.0
65,saltshaker,11.07,11.53,0.3613,50.0,28.0
66,saltshaker,11.15,4.92,0.2841,42.9,28.0
67,saltshaker,11.17,6.07,0.2207,47.2,28.0
68,saltshaker,11.26,5.31,0.3651,53.3,28.0
69,saltshaker,11.29,5.53,0.3560,46.4,28.0
70,saltshaker,11.38,6.68,0.4296,56.3,28.1
71,saltshaker,11.41,5.94,0.4084,51.3,28.1
72,saltshaker,11.43,10.89,0.4602,46.2,28.1
73,saltshaker,11.49,7.59,0.3954,51.1,28.1
74,saltshaker,11.55,5.59,0.3977,45.7,28.1
75,saltshaker,11.61,6.05,0.4860,50.0,28.1
76,saltshaker,11.59,5.81,0.4271,44.2,28.1
77,saltshaker,11.64,9.13,0.4356,50.5,28.1
78,saltshaker,11.68,8.50,0.4335,52.7,28.1
79,saltshaker,11.69,8.66,0.4420,45.6,28.1
80,saltshaker,11.69,5.62,0.4175,47.5,28.1
81,saltshaker,11.73,6.52,0.4933,46.0,28.0
82,saltshaker,11.75,6.59,0.4992,49.6,28.1
83,saltshaker,11.80,5.64,0.5483,50.5,27.9
84,saltshaker,11.77,6.54,0.4993,46.5,28.0
85,saltshaker,11.79,5.72,0.4736,47.9,28.0
86,saltshaker,11.80,7.20,0.5322,47.2,28.0
87,saltshaker,11.83,5.60,0.5703,48.6,28.0
88,saltshaker,11.76,5.61,0.5112,45.6,28.0
89,saltshaker,11.79,5.25,0.4799,44.0,28.0
90,saltshaker,11.79,7.38,0.4948,50.0,28.0
91,saltshaker,11.79,6.21,0.4692,45.1,28.0
92,saltshaker,11.82,6.55,0.5111,54.0,28.0
93,saltshaker,11.88,4.96,0.4847,43.5,28.0
94,saltshaker,11.91,7.28,0.4840,53.6,28.0
95,saltshaker,11.96,4.99,0.5283,50.0,28.0
96,saltshaker,11.95,9.29,0.5123,46.5,28.1
97,saltshaker,12.00,5.82,0.5180,48.1,28.1
98,saltshaker,12.04,6.12,0.5174,44.0,28.0
99,saltshaker,12.07,7.88,0.5275,53.7,28.1
100,saltshaker,12.14,5.95,0.4982,54.9,27.9
101,saltshaker,12.07,6.30,0.5593,49.1,28.0
102,saltshaker,12.10,5.98,0.4873,47.9,28.0
103,saltshaker,12.15,8.29,0.4753,48.7,28.0
104,saltshaker,12.20,5.44,0.5202,44.1,28.0
105,saltshaker,12.19,4.67,0.5259,47.6,28.0
106,saltshaker,12.22,6.12,0.5558,49.0,28.1
107,saltshaker,12.26,5.88,0.5651,55.3,28.1
108,saltshaker,12.31,6.53,0.5401,51.3,28.1
109,saltshaker,12.35,4.56,0.5347,54.0,28.0
110,saltshaker,12.35,5.10,0.5366,48.6,28.0
111,saltshaker,12.32,5.61,0.5098,46.2,28.0
112,saltshaker,12.27,5.31,0.4927,46.6,28.0
113,saltshaker,12.25,4.86,0.4741,45.0,28.0
114,saltshaker,12.25,4.98,0.5421,48.0,28.0
115,saltshaker,12.25,4.94,0.5107,47.9,28.0
116,saltshaker,12.21,5.92,0.4848,45.8,28.0
117,saltshaker,12.19,6.07,0.5152,45.1,28.0
118,saltshaker,12.15,5.71,0.5682,46.6,28.1
119,saltshaker,12.13,5.65,0.5561,45.9,28.0
120,saltshaker,12.01,5.48,0.4945,46.4,28.0
